Date,Open,High,Low,Close,Volume
2011-05-19,83.0,122.7,80.0,94.25,30158733
2011-05-20,101.99,107.0,92.5,93.09,8568902
2011-05-23,86.45,92.16,84.0,88.3,4442465
2011-05-24,86.5,95.45,84.31,95.45,3692751
2011-05-25,96.13,98.25,92.35,94.33,2528245
2011-05-26,95.38,95.99,85.21,86.37,1866980
2011-05-27,87.76,89.37,85.0,88.32,1737493
2011-05-31,89.9,90.72,81.52,81.58,2525118
2011-06-01,80.2,81.63,75.51,77.45,2870103
2011-06-02,78.0,81.4,75.2,78.63,2166418
2011-06-03,77.36,80.36,76.71,77.92,1186286
2011-06-06,77.85,84.16,77.54,83.54,2039614
2011-06-07,84.63,85.1,77.34,77.82,1538699
2011-06-08,78.78,79.32,75.75,75.91,826756
2011-06-09,76.0,76.49,71.71,72.01,1516092
2011-06-10,71.48,75.0,70.5,72.83,1029330
2011-06-13,74.92,77.98,74.01,75.27,1233508
2011-06-14,76.9,78.0,74.67,76.34,638726
2011-06-15,74.92,75.5,73.69,74.62,622726
2011-06-16,74.97,75.55,67.49,68.27,2180472
2011-06-17,69.85,70.5,65.1,65.53,1345017
2011-06-20,63.96,64.74,60.14,63.71,2156880
2011-06-21,64.02,68.71,64.0,67.81,1099419
2011-06-22,68.01,70.47,64.61,66.81,1192770
2011-06-23,65.8,71.18,65.08,70.32,926210
2011-06-24,70.75,72.73,68.08,69.94,1490272
2011-06-27,69.15,78.9,69.15,76.38,1606919
2011-06-28,81.4,86.79,80.11,85.56,2888295
2011-06-29,86.91,91.38,84.35,87.99,2266596
2011-06-30,89.0,90.73,87.0,90.09,1349166
2011-07-01,90.75,95.5,88.5,94.54,1501687
2011-07-05,94.95,97.0,89.99,90.66,1248704
2011-07-06,93.28,94.0,90.5,93.7,845769
2011-07-07,93.69,95.0,93.02,93.98,794452
2011-07-08,90.99,101.5,90.71,99.6,2283884
2011-07-11,97.75,105.0,97.66,100.71,2844784
2011-07-12,102.99,103.0,97.3,99.5,1616827
2011-07-13,102.74,109.97,100.21,107.87,3076673
2011-07-14,109.36,109.7,101.51,103.87,1841640
2011-07-15,106.95,110.5,102.45,109.97,1729604
2011-07-18,106.01,106.84,100.74,102.44,2037837
2011-07-19,104.26,104.82,100.22,100.86,1001164
2011-07-20,101.87,102.38,96.69,97.78,1310511
2011-07-21,97.38,102.95,96.2,101.69,1022346
2011-07-22,101.9,105.6,100.53,102.97,868300
2011-07-25,100.02,104.2,98.9,100.86,815493
2011-07-26,101.98,104.8,101.41,102.52,665882
2011-07-27,102.56,103.4,100.0,100.55,355868
2011-07-28,100.13,115.05,99.0,100.63,3341132
2011-07-29,99.34,105.0,99.0,101.03,988820
2011-08-01,105.3,108.28,100.41,104.05,1335619
2011-08-02,104.33,107.99,101.0,101.76,1391060
2011-08-03,103.6,106.41,96.13,105.65,1622072
2011-08-04,104.23,109.77,94.6,95.52,3280339
2011-08-05,100.01,100.44,85.85,91.36,3076106
2011-08-08,87.31,89.16,73.16,75.47,3626413
2011-08-09,82.07,84.68,75.0,83.47,1778548
2011-08-10,82.75,88.0,80.0,84.91,1260271
2011-08-11,86.29,89.68,85.73,88.4,985486
2011-08-12,91.41,93.21,89.51,91.22,801920
2011-08-15,91.77,93.58,88.33,90.48,682324
2011-08-16,89.88,89.9,82.84,83.53,1355058
2011-08-17,85.0,85.61,78.78,81.75,1297623
2011-08-18,77.64,79.56,76.0,78.83,942194
2011-08-19,76.76,83.5,75.89,79.03,822287
2011-08-22,82.74,82.75,73.2,74.95,1000064
2011-08-23,75.77,78.91,75.01,78.62,520330
2011-08-24,78.6,79.71,74.0,74.15,1057386
2011-08-25,75.97,75.98,70.04,71.27,737646
2011-08-26,70.07,77.43,70.07,74.61,1007294
2011-08-29,76.77,82.6,75.89,82.54,959422
2011-08-30,81.29,88.5,80.73,87.49,1405782
2011-08-31,89.05,89.31,82.38,84.12,780530
2011-09-01,84.53,86.62,83.0,83.58,402728
2011-09-02,81.41,82.5,79.18,80.27,442966
2011-09-06,78.66,80.16,77.17,79.14,411446
2011-09-07,82.67,86.01,82.0,85.47,797291
2011-09-08,84.38,87.0,83.0,84.52,664269
2011-09-09,83.66,84.26,80.35,82.72,512999
2011-09-12,81.58,84.41,80.61,82.78,507450
2011-09-13,82.7,88.5,81.88,87.38,1245028
2011-09-14,87.29,89.25,86.2,87.55,957919
2011-09-15,89.14,89.99,87.01,87.58,728920
