Date,Open,High,Low,Close,Volume
2015-11-03,74.54,77.39,73.7,76.31,1128215
2015-11-04,76.24,77.47,74.5,75.51,2176288
2015-11-05,75.64,77.21,75.23,76.83,807126
2015-11-06,76.84,76.84,75.08,75.46,660633
2015-11-09,75.21,75.45,73.1,73.75,958070
2015-11-10,73.4,74.68,73.4,74.51,2114832
2015-11-11,74.56,74.72,73.26,73.62,417036
2015-11-12,73.65,73.75,72.22,73.24,711268
2015-11-13,73.15,74.35,72.89,74.05,1240997
2015-11-16,74.14,75.64,73.8,75.29,954118
2015-11-17,75.66,75.8,74.87,75.3,885982
2015-11-18,75.26,75.79,75.0,75.78,606934
2015-11-19,75.88,75.88,74.06,74.56,342214
2015-11-20,75.01,75.49,74.45,74.59,745523
2015-11-23,74.25,74.67,73.68,74.28,958425
2015-11-24,73.7,75.12,73.3,75.04,1128898
2015-11-25,74.86,76.34,74.86,76.04,594702
2015-11-27,76.34,76.5,75.88,76.35,240174
2015-11-30,76.41,76.56,75.94,76.38,769396
2015-12-01,76.69,77.12,76.0,76.9,585161
2015-12-02,76.89,77.19,75.25,76.18,2246054
2015-12-03,76.19,76.92,73.48,73.53,744640
2015-12-04,73.51,74.88,73.2,74.24,715000
2015-12-07,74.49,76.74,74.02,76.47,1184909
2015-12-08,75.38,77.0,72.73,73.1,1588860
2015-12-09,72.97,73.61,71.66,72.08,1053675
2015-12-10,72.52,73.7,72.31,73.39,963199
2015-12-11,72.44,73.28,72.2,72.35,857227
2015-12-14,72.49,73.38,71.13,71.65,798704
2015-12-15,72.11,72.8,71.77,71.97,809639
2015-12-16,72.78,74.32,72.32,74.1,1107376
2015-12-17,74.37,74.69,73.57,73.57,669099
2015-12-18,73.29,73.53,70.96,71.03,2494135
2015-12-21,71.37,71.66,70.7,71.18,827970
2015-12-22,72.42,74.92,72.42,74.01,1263928
2015-12-23,74.76,76.91,74.44,76.83,925490
2015-12-24,76.83,77.36,76.41,76.61,258732
2015-12-28,76.57,76.82,75.42,76.39,700212
2015-12-29,77.06,77.85,76.1,77.73,510664
2015-12-30,78.01,78.77,76.89,76.95,404954
2015-12-31,76.82,76.82,75.32,75.34,588085
2016-01-04,74.11,74.98,73.39,74.37,863287
2016-01-05,74.32,75.01,73.43,74.29,739376
2016-01-06,73.37,75.1,73.24,74.41,696560
2016-01-07,73.0,74.22,72.32,72.5,500691
2016-01-08,72.64,72.87,70.45,70.55,598935
2016-01-11,70.82,71.55,68.94,69.63,659107
2016-01-12,70.12,70.54,68.9,69.62,924839
2016-01-13,69.76,70.19,66.97,67.0,691054
2016-01-14,67.16,68.32,66.21,67.92,783798
2016-01-15,66.26,67.42,65.77,67.33,714647
2016-01-19,67.9,68.36,66.53,67.08,700426
2016-01-20,66.18,68.57,65.18,67.87,1149908
2016-01-21,67.89,68.66,67.04,67.6,858932
2016-01-22,68.41,69.57,68.2,69.56,612262
2016-01-25,69.33,70.3,69.08,69.41,570620
2016-01-26,69.59,69.87,68.72,69.35,660912
2016-01-27,69.0,70.51,68.68,68.91,773012
2016-01-28,69.25,69.56,66.67,67.88,876381
2016-01-29,68.25,69.37,68.25,69.24,656508
2016-02-01,68.49,70.13,68.49,69.83,736774
2016-02-02,68.99,69.34,68.48,69.11,433128
2016-02-03,69.77,69.77,68.2,68.92,666790
2016-02-04,68.97,69.44,68.35,68.66,943027
2016-02-05,68.29,68.43,66.47,66.76,716846
2016-02-08,65.86,66.28,63.71,65.46,737398
2016-02-09,66.48,67.98,65.18,66.47,1438382
