Date,Open,High,Low,Close,Volume
2015-04-15,23.0,25.36,21.67,23.25,1022881
2015-04-16,23.56,24.74,22.61,22.71,244824
2015-04-17,23.0,27.0,22.94,26.18,202416
2015-04-20,27.57,32.17,27.0,31.5,563460
2015-04-21,32.46,32.5,26.67,27.37,327815
2015-04-22,29.0,29.88,27.35,27.55,163041
2015-04-23,27.5,29.59,27.0,27.44,121248
2015-04-24,27.5,27.68,22.5,22.94,333551
2015-04-27,23.37,23.97,19.55,19.95,657971
2015-04-28,19.95,20.99,19.61,19.89,224898
2015-04-29,20.05,21.0,19.7,19.94,154936
2015-04-30,20.0,21.5,18.25,18.25,272946
2015-05-01,18.71,19.32,17.06,17.64,309703
2015-05-04,17.98,19.74,17.98,18.66,380638
2015-05-05,19.09,19.5,17.17,18.2,229438
2015-05-06,18.1,18.88,17.52,17.63,95586
2015-05-07,18.0,18.46,17.98,18.23,69603
2015-05-08,18.94,19.74,18.63,19.1,158076
2015-05-11,19.5,21.26,19.5,20.14,302250
2015-05-12,20.5,20.9,20.0,20.2,178052
2015-05-13,21.43,21.69,20.25,20.75,94419
2015-05-14,20.64,20.64,19.61,19.74,165487
2015-05-15,19.64,21.18,19.39,19.93,118345
2015-05-18,20.1,20.24,19.5,19.75,87269
2015-05-19,20.24,20.34,18.02,18.42,123354
2015-05-20,18.59,19.55,18.25,18.84,108245
2015-05-21,18.85,19.6,18.78,19.05,74731
2015-05-22,19.4,21.0,19.0,20.59,264352
2015-05-26,20.9,21.56,20.0,20.22,262213
2015-05-27,22.22,22.9,20.0,20.01,274795
2015-05-28,20.63,20.63,19.5,19.92,181253
2015-05-29,19.84,20.35,18.9,19.12,325590
2015-06-01,19.29,19.74,17.9,18.59,204644
2015-06-02,18.9,19.72,18.0,19.19,188955
2015-06-03,19.5,20.75,19.27,20.6,125139
2015-06-04,20.4,20.74,19.19,19.31,412033
2015-06-05,19.79,20.42,19.45,20.2,130772
2015-06-08,20.2,20.95,19.61,20.93,105950
2015-06-09,20.75,21.9,20.26,21.69,310534
2015-06-10,21.9,22.33,21.24,22.01,163674
2015-06-11,22.15,22.15,21.6,22.0,61471
2015-06-12,22.13,22.15,21.7,22.15,65651
2015-06-15,22.5,22.79,21.63,21.99,111181
2015-06-16,22.3,22.82,20.65,20.68,90341
2015-06-17,21.04,21.46,20.26,21.19,70281
2015-06-18,21.27,22.67,20.52,20.63,213134
2015-06-19,20.77,21.11,20.07,20.16,283245
2015-06-22,20.15,21.47,20.06,20.49,94792
2015-06-23,20.63,20.63,19.8,20.11,99762
2015-06-24,20.01,20.48,19.7,19.99,134326
2015-06-25,19.9,19.9,18.6,19.68,106274
2015-06-26,19.83,19.83,18.82,18.97,543294
2015-06-29,18.75,19.2,18.23,18.26,67802
2015-06-30,18.0,19.79,17.96,18.08,99055
2015-07-01,18.37,18.83,17.87,18.02,96666
2015-07-02,17.96,18.0,17.48,17.72,134767
2015-07-06,18.1,18.88,18.0,18.39,97231
2015-07-07,18.85,19.6,18.43,18.64,188839
2015-07-08,18.67,18.89,16.69,16.7,158723
2015-07-09,17.2,18.06,16.18,17.09,171939
2015-07-10,17.5,17.97,16.7,16.88,161027
2015-07-13,17.0,17.12,16.1,16.25,87982
2015-07-14,16.17,16.23,15.13,15.27,207178
2015-07-15,15.5,16.73,15.01,15.47,223045
2015-07-16,15.81,17.5,15.78,17.05,148309
2015-07-17,17.1,19.03,17.1,19.03,174593
2015-07-20,19.64,19.85,19.0,19.6,149379
2015-07-21,20.02,21.8,19.71,20.5,286840
2015-07-22,20.76,21.15,20.52,20.71,78174
2015-07-23,20.95,21.4,19.51,19.63,144069
2015-07-24,19.72,20.32,18.78,18.89,62924
2015-07-27,18.79,19.02,18.6,19.02,31678
2015-07-28,20.0,20.58,19.35,19.8,60693
2015-07-29,19.7,19.7,18.96,19.05,57587
2015-07-30,19.02,19.23,18.11,18.51,36163
2015-07-31,18.6,19.07,18.55,18.65,34421
2015-08-03,18.55,18.65,17.3,17.48,43511
2015-08-04,17.49,17.5,15.56,15.82,226394
2015-08-05,15.82,16.2,15.5,15.83,257206
2015-08-06,15.84,15.96,14.31,14.59,237794
2015-08-07,14.86,15.06,13.64,13.87,132737
2015-08-10,14.0,15.3,13.95,14.95,98858
2015-08-11,15.25,16.22,15.0,15.75,134066
